127.0.0.1, 2024-12-05 13:23:25, GET, /admin/default/index, HTTP/1.1, 303, 0.006000
127.0.0.1, 2024-12-05 13:23:25, GET, /admin/default/site, HTTP/1.1, 200, 0.032000
127.0.0.1, 2024-12-05 13:24:23, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.213000
127.0.0.1, 2024-12-05 13:24:23, GET, /admin/static/_2.27.1/images/search.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2024-12-05 13:24:23, GET, /admin/static/_2.27.1/images/delete_icon.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2024-12-05 13:24:23, GET, /admin/static/_2.27.1/images/help.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2024-12-05 13:24:23, GET, /admin/static/_2.27.1/images/test_icon.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.061000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.055000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.043000
7000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.033000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.043000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.154000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.116000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.032000

127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.072000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.041000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.122000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.088000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.087000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.088000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2024-12-05 13:25:55, GET, /admin/static/_2.27.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.037000
